Product Name,Price,Rating
"2022 New HP 15 Laptop, 15.6"" HD LED Display, Intel Dual-Core Processor, Intel UHD Graphics, 16GB DDR4 RAM, 1TB SSD, Ethernet Port, USB Type-C, Long Battery Life, Windows 11",$499.00,4.4 out of 5 stars
"Asus VivoBook 14"" FHD 1080p Laptop, Intel Core i3-1115G4, 12GB RAM, 512GB PCIe SSD, Fingerprint Reader, Backlit Keyboard, HDMI, WiFi, Webcam, Windows 11 Home, Slate Grey",$459.00,4.3 out of 5 stars
"HP 17 Laptop PC, 11 Generation Intel Core, 4 GB RAM, 256 GB SSD, UHD Graphics, 17.3"" HD+ Display, Windows 11 Home, Wi-Fi & Bluetooth Combo, 7 Ports, Long Battery Life, HD Webcam (17-by4025nr, 2022)",$385.38,4.5 out of 5 stars
"2022 Newest Lenovo Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$387.00,4.4 out of 5 stars
"2022 Acer 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",$165.00,4.7 out of 5 stars
"2022 Newest HP 15.6"" HD Laptop Computer, Intel Celeron Quad-Core N4120(up to 2.6GHz), 16GB DDR4 RAM, 1TB SSD, HDMI, Bluetooth, Webcam, USB-C, RJ45 Ethernet, Windows 11S, Silver, JVQ Mousepad",$499.00,4.9 out of 5 stars
"Dell Inspiron 16 5625 Small Thin & Light Portable Laptop - 16 inch FHD+ (1920 x 1200) Display, AMD Ryzen 7 5825U, 16GB DDR4 RAM, 512GB SSD, AMD Radeon Graphics, Bluetooth, Windows 11 Pro - Silver",$949.99,4.5 out of 5 stars
"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Blue)",$189.00,4.2 out of 5 stars
"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US",$119.98,4.5 out of 5 stars
"Acer Aspire 5 A515-45-R74Z Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 5 5500U Hexa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",$449.99,4.3 out of 5 stars
"HP Chromebook Laptop 14a-na1043cl 14"" Diagonal FHD IPS Display 1920 x 1080 Intel Celeron N4500 4 GB Memory 64 GB eMMC Storage Chrome OS Mineral Silver (Renewed)",$149.95,4.3 out of 5 stars
"2021 Acer Aspire Thin and Light Laptop, 15.6"" FHD Display, Intel Celeron Dual-Core N4500 Processor, 8GB RAM, 256GB SSD, Webcam, WiFi, HDMI, Bluetooth, Windows 10, Pure Silver + One Year Office365",$399.00,4.5 out of 5 stars
"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",$188.49,4.2 out of 5 stars
"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",$339.99,4.6 out of 5 stars
"2022 Newest Lenovo Ideapad 3 Laptop, 15.6"" FHD ,11th Gen Intel Core i3-1115G4, HDMI, Webcam, Wi-Fi, Fingerprint Reader, Bluetooth, Windows 11 Home, Almond (8GB RAM | 512GB SSD)",$399.00,5.0 out of 5 stars
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight","$1,179.00",4.1 out of 5 stars
"CHUWI GemiBook Laptop Computer, 13 inch Windows 10 Laptop 8G RAM 256GB SSD with Intel Celeron J4125 Processor, 2K IPS Display Notebook, PD Fast-Charge, Backlit Keyboard, Full Metal",$269.00,4.0 out of 5 stars
"Acer Aspire 5 A515-56-32DK Slim Laptop | 15.6"" Full HD IPS Display | 11th Gen Intel Core i3-1115G4 Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Windows 11 Home in S mode",$316.49,4.2 out of 5 stars
"HP Chromebook 11A G8 Education Edition AMD A4-9120C 4GB DDR4-1866 SDRAM, 32GB eMMC 11.6-inch WLED HD Webcam Chrome OS (Renewed)",$82.99,4.2 out of 5 stars
"2022 Newest HP 15 15.6” HD Display Laptop Notebook, Intel Pentium Quad-Core N5000(Up to 2.7GHz), 8GB DDR4 RAM, 128GB SSD, 1-Year Office 365, HDMI, USB-C, WiFi, Webcam, Win10, Scarlet Red +JVQ MP",$369.00,4.5 out of 5 stars
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb185nr, Royal Blue)",$209.00,4.5 out of 5 stars
"CHUWI 14"" Laptop, Windows 11, 2K IPS Display, Intel Celeron N5100 up to 2.8 GHz, 8GB RAM 256GB SSD, WiFi 6, Backlit Keyboard, USB-C, Ultra Thin and Light Notebook Computer (GemiBook Pro)",$349.00,4.0 out of 5 stars
